id,titulo,empresa,local,tipo,modalidade,aderencia,tags,link,enviada
40,Desenvolvedor Python Junior - Trabalho Remoto,BairesDev,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.79,"Python, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvedor-python-junior-trabalho-remoto-at-bairesdev-4456895689,False
41,Desenvolvedor de Software Junior - Trabalho Remoto,BairesDev,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Desenvolvimento,https://br.linkedin.com/jobs/view/desenvolvedor-de-software-junior-trabalho-remoto-at-bairesdev-4457638511,False
42,Vindi | Desenvolvedor (a) Fullstack Júnior | Remoto,Vindi,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Desenvolvimento,https://br.linkedin.com/jobs/view/vindi-desenvolvedor-a-fullstack-j%C3%BAnior-remoto-at-vindi-4453597868,False
43,Desenvolvedor Backend Python Júnior,byx,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.79,"Python, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvedor-backend-python-j%C3%BAnior-at-byx-4457495990,False
44,Desenvolvimento Python Junior/Pleno - Remoto - São Paulo - SP - 135458,GFT Technologies,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.79,"Python, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvimento-python-junior-pleno-remoto-s%C3%A3o-paulo-sp-135458-at-gft-technologies-4453457815,False
45,Desenvolvedor(a) Java/Python Júnior | Camunda,T-Systems do Brasil,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.79,"Python, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvedor-a-java-python-j%C3%BAnior-camunda-at-t-systems-do-brasil-4447145391,False
46,Programador Junior,Jobgether,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Desenvolvimento,https://br.linkedin.com/jobs/view/programador-junior-at-jobgether-4456860204,False
47,"Junior Software Engineer — Remote, Brazil",MixRank,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Desenvolvimento,https://br.linkedin.com/jobs/view/junior-software-engineer-%E2%80%94-remote-brazil-at-mixrank-4415454307,False
48,Junior Software Engineer,Power Digital Marketing,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.72,Desenvolvimento,https://br.linkedin.com/jobs/view/junior-software-engineer-at-power-digital-marketing-4455896202,False
49,Desenvolvedor,MML Sistemas de Automação,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.86,"Python, Automação / RPA, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvedor-at-mml-sistemas-de-automa%C3%A7%C3%A3o-4449588153,False
50,Desenvolvedor(a) Python SR — Automação e Integrações,Zallpy Digital,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.86,"Python, Automação / RPA, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvedor-a-python-sr-%E2%80%94-automa%C3%A7%C3%A3o-e-integra%C3%A7%C3%B5es-at-zallpy-digital-4444364754,False
51,Programador Junior,Benner,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.86,"Python, Automação / RPA, Desenvolvimento",https://br.linkedin.com/jobs/view/programador-junior-at-benner-4454653073,False
52,"""Desenvolvedor de automação redes pleno #1016447""",Dexian Brasil,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.93,"Infraestrutura, Python, Automação / RPA",https://br.linkedin.com/jobs/view/desenvolvedor-de-automa%C3%A7%C3%A3o-redes-pleno-%231016447-at-dexian-brasil-4458652672,False
53,"Desenvolvedor de sistemas, Automação RPA e IA Agents",FCamara,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.86,"Python, Automação / RPA, Desenvolvimento",https://br.linkedin.com/jobs/view/desenvolvedor-de-sistemas-automa%C3%A7%C3%A3o-rpa-e-ia-agents-at-fcamara-4452031286,False
54,Engenheiro de Software,Ibope,Remoto (Brasil),Tecnologia / Serviços,Remoto,0.86,"Python, Automação / RPA, Desenvolvimento",https://br.linkedin.com/jobs/view/engenheiro-de-software-at-ibope-4437051536,False
